Ontology ID	label	cross reference IRI	synonym	English Exact syn	narrow synonym	Broad Synonym	Related synonym	British english syn.	Italian Exact syn.	French Exact syn.	german Exact syn.	spanish Exact syn.	portuguese Exact syn.	term contributor
FOODON:03460112	water removal to reconstitution ratio 3 plus 1 or higher	langual:H0112	concentrated, 40 degrees brix or higher											
FOODON:03460113	water removal to reconstitution ratio 2 plus 1	langual:H0113	concentrated, 20-40 degrees brix											
FOODON:03460114	water removal to reconstitution ratio 1 plus 1	langual:H0114	condensed											
FOODON:03460119	microbial/enzymatic modification process	langual:H0119	fermented, unspecified											
FOODON:03460121	food irradiation	langual:H0121	picowaved											
FOODON:03460123	alcohol-acetic acid fermentation	langual:H0123												
FOODON:03460127	lipolytic fermentation	langual:H0127												
FOODON:03460128	multi-component food fermentation	langual:H0128	ripened (cured)											
FOODON:03460130	physical/chemical modification process	langual:H0130												
FOODON:03460133	food certified color addition process	langual:H0133												
FOODON:03460134	protein removal process	langual:H0134												
FOODON:03460135	alkaloid or purine removal process	langual:H0135	dealkaloidized|purine removed											
FOODON:03460137	demineralizing process	langual:H0137	calcium removed|minerals removed											
FOODON:03460138	water removal process	langual:H0138												
FOODON:03460140	decaffeination process	langual:H0140												
FOODON:03460141	food modification process	langual:H0141												
FOODON:03460148	water addition process	langual:H0148	diluted											
FOODON:03460150	food color addition process	langual:H0150												
FOODON:03460160	alcoholization process	langual:H0160	brandied											
FOODON:03460161	fat removal process	langual:H0161	cholesterol removed|defatted											
FOODON:03460169	food instantizing	langual:H0169	agglomerated|converted (grain)											
FOODON:03460174	food hydrogenation process	langual:H0174												
FOODON:03460175	carbonation process	langual:H0175	carbon dioxide added											
FOODON:03460178	food aeration process	langual:H0178												
FOODON:03460179	food ionizing irradiation	langual:H0179												
FOODON:03460182	candying	langual:H0182												
FOODON:03460190	pickling	langual:H0190												
FOODON:03460192	food texturing process	langual:H0192												
FOODON:03460194	nutrient or dietary substance addition process	langual:H0194	enriched|fortified|restored											
FOODON:03460197	food bleaching process	langual:H0197												
FOODON:03460198	debittering process	langual:H0198												
FOODON:03460200	acidification process	langual:H0200|foodex2:A07JM	pickled by acidification											
FOODON:03460203	lactose conversion process	langual:H0203	converted (lactose)|delactosed											
