type	Ontology ID	NTR	label	parent	term	MIFC	definition	definition source	comment	example of use	EquivalentTo	SubClassOf	has specified input	has specified output	has characteristic	see also IRI	term contributor	curation status	created
3	FOODON:03470151		preservation of food component by heat treatment	heat treatment food preservation	preservation of food component by heat treatment		LanguaL curation note: Used when an ingredient or a component of a food has undergone preservation by pasteurization, ultrapasteurization or sterilization.		LanguaL curation note: Used when an ingredient or a component of a food has undergone preservation by pasteurization, ultrapasteurization or sterilization.										
3	FOODON:03470123		food sterilization by heating	heat treatment food preservation	food sterilization by heating		LanguaL curation note: Used when the product is rendered commercially sterile by holding at high temperature before or after it is packed in a hermetically sealed container.		LanguaL curation note: Used when the product is rendered commercially sterile by holding at high temperature before or after it is packed in a hermetically sealed container.										
3	FOODON:03470147		food sterilization at ultra high temperature (UHT)	aseptic filling and sealing of food	food sterilization at ultra high temperature (UHT)														
3	FOODON:03470110		food sterilization after filling	food sterilization by heating	food sterilization after filling		LanguaL curation note: Used when a food product was sterilized by holding at a high temperature after filling.		LanguaL curation note: Used when a food product was sterilized by holding at a high temperature after filling.										
3	FOODON:03470114		food sterilization by hot filling and cooling	food sterilization before filling	food sterilization by hot filling and cooling		LanguaL curation note: Used when a sterile product is filled into a container at approximately 212 degrees F and cooled promptly after sealing.		LanguaL curation note: Used when a sterile product is filled into a container at approximately 212 degrees F and cooled promptly after sealing.										
3	FOODON:03470102		food sterilization before filling	food sterilization by heating	food sterilization before filling		LanguaL curation note: Used when a food product is sterilized by holding at a high temperature before filling; the container may be sterilized before or after filling.		LanguaL curation note: Used when a food product is sterilized by holding at a high temperature before filling; the container may be sterilized before or after filling.										
3	FOODON:03470126		aseptic filling and sealing of food	food sterilization before filling	aseptic filling and sealing of food		LanguaL curation note: Used when a sterile product is filled in a sterile atmosphere into a sterile container. For further detail see 21 CFR 113.3(a).		LanguaL curation note: Used when a sterile product is filled in a sterile atmosphere into a sterile container. For further detail see 21 CFR 113.3(a).										
3	FOODON:03470129		food sterilization by hot filling, held hot and cooling	food sterilization before filling	food sterilization by hot filling, held hot and cooling		LanguaL curation note: Used when a sterile product is filled into a container at approximately 212 degrees F., sealed, and held hot temporarily to complete processing before cooling.		LanguaL curation note: Used when a sterile product is filled into a container at approximately 212 degrees F., sealed, and held hot temporarily to complete processing before cooling.										
3	FOODON:03000504	NTR	pasteurization	microorganism killing	pasteurization		A microorganism killing process which has the objective of reducing potential pathogenic microbes by an amount equivalent to Pasteur's process.	https://en.wikipedia.org/wiki/Pasteurization											
2	FOODON:00002654		food (pasteurized)	food material by process	food (pasteurized)		Food material which has been pasteurized.												
1	FOODON:03000505	NTR	pasteurized	food characteristic	pasteurized	pasteurized	A characteristic of food material which indicates that it has been pasteurized.												
3	FOODON:03470119		pasteurization by irradiation	pasteurization|preservation by ionizing radiation	pasteurization by irradiation		A pasteurization process which employs ionizing radiation.		LanguaL curation note: Used when sufficient radiation (e.g. 10 kGy) is applied to destroy most patho-genic and food spoilage organisms. Also index *preservation by CHILLING*.										
3	FOODON:03470135		pasteurization by heating	pasteurization|heat treatment food preservation	pasteurization by heating		LanguaL curation note: Used when the product is held at a temperature of 60-150 °C (140-300 °F) for a time sufficient to destroy most pathogenic and food spoilage organisms. When followed by refrigeration, also index *preservation by CHILLING*.		LanguaL curation note: Used when the product is held at a temperature of 60-150 °C (140-300 °F) for a time sufficient to destroy most pathogenic and food spoilage organisms. When followed by refrigeration, also index *preservation by CHILLING*.										
3	FOODON:03470148		ultra pasteurization (UP) by heat	pasteurization by heating	ultra pasteurization (UP) by heat		When used to describe a dairy product, means that such product shall have been thermally processed at or above 138° C (280° C) for at least 2 seconds, either before or after packaging so as to produce a product that has extended shelf life under refrigerated conditions (21 CFR 131.3 (c)). Used to describe liquid egg products that also have been thermally processed, but at a different temperature than for milk products.  The egg product will have an extended shelf life under refrigerated conditions.												
3	FOODON:03470178		high temperature short time (HTST) pasteurization	pasteurization by heating	high temperature short time (HTST) pasteurization		High Temperature Short Time (HTST) pasteurization is one of the most common methods of pasteurization , which uses metal plates and hot water to raise milk temperatures to at least 72° C (161° F) for not less than 15 seconds, followed by rapid cooling.												
3	FOODON:03470179		higher heat shorter time (HHST) pasteurization	pasteurization by heating	higher heat shorter time (HHST) pasteurization		Higher Heat Shorter Time (HHST) is a process similar to HTST pasteurization, but it uses slightly different equipment and higher temperatures (83 - 127° C) for a shorter time.												
3	FOODON:03470180		ultra high temperature (UHT) pasteurization	pasteurization by heating	ultra high temperature (UHT) pasteurization		Typically involves heating milk or cream to 135° to 150° C (275° to 302° F) for 1 or 2 seconds. The milk is then packaged in sterile, hermetically-sealed (airtight) containers (aspetic filling) and can be stored without refrigeration for up to 90 days. After opening, spoilage times for UHT products are similar to those of conventionally pasteurized products.												
3	FOODON:03470181		filling conditions for pasteurization	pasteurization by heating	filling conditions for pasteurization		A pasteurization by heating process in which containers are pasteurized in preparation for a filling process.		LanguaL curation note: This term is for CLASSIFICATION ONLY; DO NOT USE term in indexing. Use a more precise narrower term.										
3	FOODON:03470158		pasteurization by heat after filling	filling conditions for pasteurization	pasteurization by heat after filling		Pasteurization by heat after food material has been sealed in a container.												
3	FOODON:03470159		pasteurization by heat before filling	filling conditions for pasteurization	pasteurization by heat before filling		Pasteurization by heat before food material has been sealed in a container.												
3	FOODON:03470182		low-temperature-long-time (LTLT) pasteurization	pasteurization by heating	low-temperature-long-time (LTLT) pasteurization		A pasteurization by heating process which uses low heat for a longer time to kill pathogenic bacteria.		An example of LTLT is when milk is pasteurized at 63° C (145° F) for 30 minutes.										
																			
3	FOODON:03460298		clotting enzyme addition	enzymatic modification	clotting enzyme addition		LanguaL curation note: Used when a clotting enzyme is added to a food product at any level.		LanguaL curation note: Used when a clotting enzyme is added to a food product at any level.										
3	FOODON:03460326		bacterial food-curing process	lactic acid-other agent fermentation	bacterial food-curing process														
3	FOODON:03460327		food surface bacterial curing	bacterial food-curing process	food surface bacterial curing														
3	FOODON:03460328		food interior bacterial curing	bacterial food-curing process	food interior bacterial curing														
3	FOODON:03460329		mold food-curing	lactic acid-other agent fermentation	mold food-curing														
3	FOODON:03460330		food surface mold curing	mold food-curing	food surface mold curing														
3	FOODON:03460331		food interior mold curing	mold food-curing	food interior mold curing														
																			
3	FOODON:00001304		food fermentation	food microorganism control|microbial/enzymatic modification	food fermentation		A fermentation process in which either carbohydrates, proteins or fats are modified through microbial, enzymatic and/or other biological processes.										https://orcid.org/0000-0002-8844-9165		
2	FOODON:00001258		food (fermented)	food material by process	food (fermented)		Food material which has been fermented.												
1	FOODON:03000506	NTR	fermented	food characteristic	fermented	fermented	A characteristic of food material which indicates that it has undergone fermentation.												
3	FOODON:03460256		carbohydrate fermentation	single component food fermentation	carbohydrate fermentation														
3	FOODON:03460300		acetic acid fermentation	carbohydrate fermentation	acetic acid fermentation														
3	FOODON:03460101		lactic acid fermentation	carbohydrate fermentation	lactic acid fermentation		A food fermentation process in which lactic acid bacteria (LAB) convert carbohydrates into energy and lactic acid.												
3	FOODON:03460123		alcohol-acetic acid fermentation	carbohydrate fermentation	alcohol-acetic acid fermentation														
3	FOODON:03460232		alcohol fermentation	carbohydrate fermentation	alcohol fermentation														
3			normal alcohol fermentation	alcohol fermentation	normal alcohol fermentation		Conventional alcoholic fermentation involves crushing the grapes to free the juice and pulp from the skin with yeast serving to convert sugar into ethanol.												
3			double alcohol fermentation	alcohol fermentation	double alcohol fermentation														
3			primary alcohol fermentation	alcohol fermentation	primary alcohol fermentation														
3			wine secondary alcohol fermentation	wine alcohol fermentation	wine secondary alcohol fermentation		The secondary stage of a wine alcohol fermentation and aging process, which takes three to six months, in which the fermentation continues very slowly. The wine is kept under an airlock to protect the wine from oxidation.	https://en.wikipedia.org/wiki/Winemaking#Secondary_(malolactic)_fermentation_and_bulk_aging											
3			interrupted wine alcohol fermentation	wine secondary alcohol fermentation	interrupted wine alcohol fermentation														
3			interrupted alcohol fermentation by fortification	interrupted wine alcohol fermentation	interrupted alcohol fermentation by fortification														
3			interrupted alcohol fermentation by sulphur addition	interrupted wine alcohol fermentation	interrupted alcohol fermentation by sulphur addition														
3			interrupted alcohol fermentation by filtering	interrupted wine alcohol fermentation	interrupted alcohol fermentation by filtering														
3	FOODON:03460230		single component food fermentation	food fermentation	single component food fermentation		A food fermentation process in which significant amounts of one category of component - either carbohydrates, proteins or fats - is modified through microbial processes.		LanguaL curation note: Used for products in which either carbohydrates, proteins or fats were modified through microbial processes. Enzymatic or other biological processes may also be involved. If two or more of these components are modified in significant amounts, index under *FERMENTED/MODIFIED, MULTIPLE COMPONENT*.										
3	FOODON:03460128		multi-component food fermentation	food fermentation	multi-component food fermentation		A food fermentation process in which significant amounts of two or more components (i.e. carbohydrate and protein, carbohydrate and fat, protein and fat, or all three) are modified through microbial processes.		Enzymatic or other biological processes may also be involved.										
3	FOODON:03460102		proteolytic fermentation	food fermentation	proteolytic fermentation		A food fermentation process in which proteolytic bacteria participate in fermentation by generating protease enzymes which break down protiens in food material.												
3	FOODON:03460127		lipolytic fermentation	food fermentation	lipolytic fermentation		A food fermentation process in which microorganisms secrete lipases to break down lipids into glycerol and free fatty acids.												
3	FOODON:03460107		lactic acid-other agent fermentation	food fermentation	lactic acid-other agent fermentation		A food fermentation process in which carbohydrates are converted into energy and lactic acid by microbials other than lactic acid bacteria.												
3	FOODON:03460246		carbonation by fermentation	food fermentation|carbonation	carbonation by fermentation		A food fermentation process involving production of carbon dioxide which remains noticeable in the food material.												
