DISABLED	ID	parent class	label	Equivalence axiom	Animal (top level class) Equivalence	Subclass axiom	definition	comment	definition source	Exact Synonym	Broad Synonym	created	term contributor	see also	curation status	image	Curation notes	Minimum	Aves	Bovidae	Suina	Cervidae	Camelidae	Giraffoidea	Hippopotamidae	Cetacea	Ursidae	Canidae	Felidae	Pinnipedia	Musteloidea	Perissodactyla	Diprotodontia	Rodentia	Lagomorpha	Chiroptera	Eulipotyphla	Primates	Home sapiens		Bivalvia	Cephalopoda	Gastropoda	Reptilia	Echinodermata	Amphibian		Chelicerata	Crustacea	Hexapoda	Other
	FOODON:02010080	piece of {animal} organ	piece of {animal} spleen	'piece of animal spleen' and 'derives from' some '{animal} spleen'	'piece of animal organ' and 'derives from' some 'animal spleen'		A piece of spleen that derives from an {animal} spleen.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010081	piece of {animal} organ	piece of {animal} lung	'piece of animal lung' and 'derives from' some '{animal} lung'	'piece of animal organ' and 'derives from' some 'animal lung'		A piece of lung that derives from an {animal} lung.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010082	piece of {animal} organ	piece of {animal} gizzard	'piece of animal gizzard' and 'derives from' some '{animal} gizzard'	'piece of animal organ' and 'derives from' some 'animal gizzard'		A piece of gizzard that derives from an {animal} gizzard.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010083	piece of {animal} organ	piece of {animal} tongue	'piece of animal tongue' and 'derives from' some '{animal} tongue'	'piece of animal organ' and 'derives from' some 'animal tongue'		A piece of tongue that derives from an {animal} tongue.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010084	piece of {animal} organ	piece of {animal} thymus	'piece of animal thymus' and 'derives from' some '{animal} thymus'	'piece of animal organ' and 'derives from' some 'animal thymus'		A piece of thymus that derives from an {animal} thymus.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010085	piece of {animal} organ	piece of {animal} pancreas	'piece of animal pancreas' and 'derives from' some '{animal} pancreas'	'piece of animal organ' and 'derives from' some 'animal pancreas'		A piece of pancreas that derives from an {animal} pancreas.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010086	piece of {animal} organ	piece of {animal} ovary	'piece of animal ovary' and 'derives from' some '{animal} ovary'	'piece of animal organ' and 'derives from' some 'animal ovary'		A piece of ovary that derives from an {animal} ovary.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010087	piece of {animal} organ	piece of {animal} testicle	'piece of animal testicle' and 'derives from' some '{animal} testicle'	'piece of animal organ' and 'derives from' some 'animal testicle'		A piece of testicle that derives from an {animal} testicle.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010088	piece of {animal} organ	piece of {animal} stomach	'piece of animal stomach' and 'derives from' some '{animal} stomach'	'piece of animal organ' and 'derives from' some 'animal stomach'		A piece of stomach that derives from an {animal} stomach.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010089	piece of {animal} organ	piece of {animal} ear	'piece of animal ear' and 'derives from' some '{animal} ear'	'piece of animal organ' and 'derives from' some 'animal ear'		A piece of ear that derives from an {animal} ear.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010090	piece of {animal} organ	piece of {animal} organ (raw)	'piece of {animal} organ' and 'has quality' some 'raw'			A piece of {animal} organ that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010091	piece of {animal} skin	piece of {animal} skin (raw)	'piece of {animal} skin' and 'has quality' some 'raw'			A piece of {animal} skin that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010092	piece of {animal} heart	piece of {animal} heart  (raw)	'piece of {animal} heart' and 'has quality' some 'raw'			A piece of {animal} heart that is raw.				raw {animal} heart 	2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010093	piece of {animal} brain 	piece of {animal} brain (raw)	'piece of {animal} brain' and 'has quality' some 'raw'			A piece of {animal} brain that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010094	piece of {animal} kidney	piece of {animal} kidney (raw)	'piece of {animal} kidney' and 'has quality' some 'raw'			A piece of {animal} kidney that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010095	piece of {animal} liver 	piece of {animal} liver (raw)	'piece of {animal} liver' and 'has quality' some 'raw'			A piece of {animal} liver that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010096	piece of {animal} spleen	piece of {animal} spleen (raw)	'piece of {animal} spleen' and 'has quality' some 'raw'			A piece of {animal} spleen that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010097	piece of {animal} lung 	piece of {animal} lung (raw)	'piece of {animal} lung' and 'has quality' some 'raw'			A piece of {animal} lung that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010098	piece of {animal} gizzard	piece of {animal} gizzard (raw)	'piece of {animal} gizzard' and 'has quality' some 'raw'			A piece of {animal} gizzard that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010099	piece of {animal} tongue	piece of {animal} tongue (raw)	'piece of {animal} tongue' and 'has quality' some 'raw'			A piece of {animal} tongue that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010100	piece of {animal} thymus	piece of {animal} thymus (raw)	'piece of {animal} thymus' and 'has quality' some 'raw'			A piece of {animal} thymus that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010101	piece of {animal} pancreas	piece of {animal} pancreas (raw)	'piece of {animal} pancreas' and 'has quality' some 'raw'			A piece of {animal} pancreas that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010102	piece of {animal} ovary	piece of {animal} ovary (raw)	'piece of {animal} ovary' and 'has quality' some 'raw'			A piece of {animal} ovary that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010103	piece of {animal} testicle	piece of {animal} testicle (raw)	'piece of {animal} testicle' and 'has quality' some 'raw'			A piece of {animal} testicle that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010104	piece of {animal} stomach	piece of {animal} stomach (raw)	'piece of {animal} stomach' and 'has quality' some 'raw'			A piece of {animal} stomach that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010105	piece of {animal} ear	piece of {animal} ear (raw)	'piece of {animal} ear' and 'has quality' some 'raw'			A piece of {animal} ear that is raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010106	piece of {animal} ear	piece of {animal} ear (fresh frozen)	'piece of {animal} ear' and 'has quality' some 'fresh frozen'			A piece of {animal} ear that is frozen and raw.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010107	{animal} piece	piece of {animal} meat	'{animal} piece' and 'has part' some ('derives from' some 'animal muscle tissue cut')			A piece of animal meat that is derived from {animal}.				{animal} meat	2023-08-01T21:25:29Z			ready for release		reindeer,	TRUE	ALL	antelope|beef	ALL																														
	FOODON:02010108	piece of {animal} meat	piece of {animal} meat (raw)	'piece of {animal} meat' and 'has quality' some 'raw'			A piece of {animal} meat that is raw.				raw {animal} meat	2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010109	piece of {animal} meat	piece of {animal} meat (skinless)	'piece of {animal} meat' and not ('has part' some ('derives from' some 'skin of body'))			A piece of {animal} meat that is skinless.					2023-08-01T21:25:29Z			ready for release																																				
